"","acoustic_tag_id","row_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m","downstream_migration","first_dist_to_use","first_dist_to_use_idx","time_first_dist_to_use","delta_totdist","delta_t","migration_speed","migration"
"273","A69-1601-19246",273,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-31 13:21:34,2014-10-31 14:11:51,10,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"274","A69-1601-19246",274,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-31 23:10:20,2014-11-01 05:59:30,249,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"275","A69-1601-19246",275,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-01 13:03:57,2014-11-01 13:03:57,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"276","A69-1601-19246",276,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-02 00:28:21,2014-11-02 00:43:56,8,NA,NA,NA,1671.881643,1671.881643,NA,NA,NA,NA,NA,NA,NA,FALSE
"277","A69-1601-19247",277,"PTN-Silver-eel-Mondego","rel_mondego","none",40.295,-8.257,2014-10-26 17:00:00,2014-10-26 17:00:00,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
"278","A69-1601-19247",278,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-30 21:33:56,2014-10-30 23:02:07,54,362036,1671.881643,0.004618,1671.881643,1671.881643,NA,NA,NA,NA,NA,NA,NA,FALSE
"279","A69-1601-19248",279,"PTN-Silver-eel-Mondego","rel_mondego","none",40.295,-8.257,2014-10-26 17:00:00,2014-10-26 17:00:00,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
"280","A69-1601-19248",280,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-27 09:15:52,2014-10-29 10:54:18,2633,58552,1671.881643,0.028554,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"281","A69-1601-19248",281,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-29 21:18:08,2014-10-29 22:25:18,57,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"282","A69-1601-19248",282,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-30 09:17:00,2014-10-30 11:24:39,113,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"283","A69-1601-19248",283,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-30 21:13:19,2014-10-30 22:23:15,56,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"284","A69-1601-19248",284,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-31 10:20:26,2014-10-31 11:26:22,58,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"285","A69-1601-19248",285,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-31 20:13:40,2014-10-31 22:54:40,134,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"286","A69-1601-19248",286,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-01 10:19:50,2014-11-01 12:39:54,110,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"287","A69-1601-19248",287,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-01 21:08:18,2014-11-01 22:31:12,78,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"288","A69-1601-19248",288,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-02 10:17:14,2014-11-02 11:28:09,65,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"289","A69-1601-19248",289,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-02 18:56:55,2014-11-02 20:27:14,75,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"290","A69-1601-19248",290,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-03 09:21:50,2014-11-03 11:28:57,101,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"291","A69-1601-19248",291,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-04 09:13:13,2014-11-04 11:23:46,69,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"292","A69-1601-19248",292,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-04 20:16:40,2014-11-04 21:22:34,28,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"293","A69-1601-19248",293,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-05 09:11:03,2014-11-05 11:30:37,121,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"294","A69-1601-19248",294,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-05 20:11:08,2014-11-05 21:14:53,30,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"295","A69-1601-19248",295,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-06 09:14:50,2014-11-06 11:27:36,106,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"296","A69-1601-19248",296,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-06 20:03:00,2014-11-06 21:32:05,59,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"297","A69-1601-19248",297,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-07 10:16:19,2014-11-07 12:27:13,104,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"298","A69-1601-19248",298,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-07 16:13:09,2014-11-08 00:07:47,126,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"299","A69-1601-19248",299,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-08 10:07:58,2014-11-08 11:30:10,42,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"300","A69-1601-19248",300,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-08 19:03:19,2014-11-08 21:28:10,117,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"301","A69-1601-19248",301,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-09 10:07:15,2014-11-09 12:27:21,70,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"302","A69-1601-19248",302,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-09 20:09:14,2014-11-09 21:43:38,78,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"303","A69-1601-19248",303,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-10 09:18:41,2014-11-10 11:41:05,70,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"304","A69-1601-19248",304,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-10 15:01:18,2014-11-10 19:40:49,99,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"305","A69-1601-19248",305,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-10 22:06:15,2014-11-10 22:31:35,2,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"306","A69-1601-19248",306,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-11 07:29:20,2014-11-11 08:50:36,45,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"307","A69-1601-19248",307,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-11 09:55:35,2014-11-11 09:57:23,3,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"308","A69-1601-19248",308,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-11 12:03:10,2014-11-11 12:03:10,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"309","A69-1601-19248",309,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-11 13:51:07,2014-11-11 13:51:07,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"310","A69-1601-19248",310,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-11 15:02:45,2014-11-11 15:02:45,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"311","A69-1601-19248",311,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-11 16:05:34,2014-11-11 16:46:29,4,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"312","A69-1601-19248",312,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-11 18:21:38,2014-11-11 18:21:38,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"313","A69-1601-19248",313,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-11 21:35:03,2014-11-11 21:43:34,4,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"314","A69-1601-19248",314,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-12 07:01:28,2014-11-12 18:46:31,92,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"315","A69-1601-19248",315,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-12 21:06:48,2014-11-12 21:06:48,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"316","A69-1601-19248",316,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-12 22:08:37,2014-11-12 23:03:10,2,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"317","A69-1601-19248",317,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-13 06:14:16,2014-11-13 07:13:03,4,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"318","A69-1601-19248",318,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-13 10:50:34,2014-11-13 10:50:34,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"319","A69-1601-19248",319,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-13 14:15:14,2014-11-13 14:15:14,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"320","A69-1601-19248",320,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-13 15:33:27,2014-11-13 15:33:27,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"321","A69-1601-19248",321,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-13 23:41:32,2014-11-13 23:41:32,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"322","A69-1601-19248",322,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-14 09:04:32,2014-11-14 09:04:32,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"323","A69-1601-19248",323,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-28 23:26:19,2014-11-28 23:26:19,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"324","A69-1601-19248",324,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-12-05 17:10:44,2014-12-05 17:10:44,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"325","A69-1601-19248",325,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-12-10 19:39:38,2014-12-10 19:45:10,3,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"326","A69-1601-19248",326,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-12-10 21:54:09,2014-12-10 22:22:16,3,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"327","A69-1601-19248",327,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-12-11 12:41:42,2014-12-11 12:41:42,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"328","A69-1601-19248",328,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-12-12 16:32:24,2014-12-12 16:32:24,1,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"329","A69-1601-19248",329,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-12-15 08:16:52,2014-12-15 08:16:52,1,NA,NA,NA,1671.881643,1671.881643,NA,NA,NA,NA,NA,NA,NA,FALSE
"330","A69-1601-19249",330,"PTN-Silver-eel-Mondego","rel_mondego","none",40.295,-8.257,2014-10-26 17:00:00,2014-10-26 17:00:00,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
"331","A69-1601-19249",331,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2015-04-25 20:57:00,2015-04-25 20:57:00,1,15652620,1671.881643,0.000107,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"332","A69-1601-19249",332,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2015-04-26 20:52:00,2015-04-27 00:43:00,42,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"333","A69-1601-19249",333,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2015-04-28 21:24:00,2015-04-28 22:28:00,11,NA,NA,NA,1671.881643,1671.881643,NA,NA,NA,NA,NA,NA,NA,FALSE
"334","A69-1601-19250",334,"PTN-Silver-eel-Mondego","rel_mondego","none",40.295,-8.257,2014-10-26 17:00:00,2014-10-26 17:00:00,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
"335","A69-1601-19250",335,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-28 01:35:05,2014-10-28 02:01:03,21,117305,1671.881643,0.014252,1671.881643,1671.881643,NA,NA,NA,NA,NA,NA,NA,FALSE
"336","A69-1601-19251",336,"PTN-Silver-eel-Mondego","rel_mondego","none",40.295,-8.257,2014-10-26 17:00:00,2014-10-26 17:00:00,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
"337","A69-1601-19251",337,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-01 19:36:45,2014-11-01 19:45:00,6,527805,1671.881643,0.003168,1671.881643,1671.881643,NA,NA,NA,NA,NA,NA,NA,FALSE
"338","A69-1601-19252",338,"PTN-Silver-eel-Mondego","rel_mondego","none",40.295,-8.257,2014-10-26 17:00:00,2014-10-26 17:00:00,1,NA,NA,NA,0,0,TRUE,27347.94508,3,2014-11-15 22:40:42,27347.94508,1748442,0.0156413224344874,TRUE
"339","A69-1601-19252",339,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-05 03:41:32,2014-11-05 04:03:28,23,816092,1671.881643,0.002049,1671.881643,1671.881643,TRUE,27347.94508,3,2014-11-15 22:40:42,25676.063437,932350,0.0275390823585563,TRUE
"340","A69-1601-19252",340,"PTN-Silver-eel-Mondego","R3","VR2W-125707",40.214,-8.438,2014-11-15 22:40:42,2014-11-15 23:09:45,15,931034,25676.063437,0.027578,27347.94508,27347.94508,TRUE,71444.322117,4,2014-12-26 20:31:18,44096.377037,3534636,0.0124755072479882,TRUE
"341","A69-1601-19252",341,"PTN-Silver-eel-Mondego","R5","VR2W-125701",40.145,-8.836,2014-12-26 20:31:18,2014-12-26 20:44:58,11,3532893,44096.377036,0.012482,71444.322116,71444.322117,NA,NA,NA,NA,NA,NA,NA,TRUE
"342","A69-1601-19252",342,"PTN-Silver-eel-Mondego","R8","VR2W-125704",40.145372,-8.873039,2014-12-26 21:23:34,2014-12-26 21:24:35,2,2316,3363.485949,1.452282,74807.808065,74807.808066,NA,NA,NA,NA,NA,NA,NA,TRUE
"343","A69-1601-19254",343,"PTN-Silver-eel-Mondego","rel_mondego","none",40.295,-8.257,2014-10-26 17:00:00,2014-10-26 17:00:00,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
"344","A69-1601-19254",344,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-28 08:31:45,2014-10-28 13:59:17,231,142305,1671.881643,0.011749,1671.881643,1671.881643,NA,NA,NA,NA,NA,NA,NA,FALSE
"345","A69-1601-19255",345,"PTN-Silver-eel-Mondego","rel_mondego","none",40.295,-8.257,2014-10-26 17:00:00,2014-10-26 17:00:00,1,NA,NA,NA,0,0,FALSE,27347.94508,6,2015-02-01 01:23:31,27347.94508,8411011,0.00325144564428699,FALSE
"346","A69-1601-19255",346,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-28 23:52:55,2014-10-29 00:29:36,27,197575,1671.881643,0.008462,1671.881643,1671.881643,FALSE,27347.94508,6,2015-02-01 01:23:31,25676.063437,8213436,0.00312610501098444,FALSE
"347","A69-1601-19255",347,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-31 19:09:22,2014-10-31 21:54:24,21,NA,NA,NA,1671.881643,1671.881643,FALSE,27347.94508,6,2015-02-01 01:23:31,25676.063437,7971249,0.00322108410325659,FALSE
"348","A69-1601-19255",348,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-31 23:01:09,2014-11-01 06:58:07,278,NA,NA,NA,1671.881643,1671.881643,FALSE,27347.94508,6,2015-02-01 01:23:31,25676.063437,7957342,0.00322671357307503,FALSE
"349","A69-1601-19255",349,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-01 08:35:01,2014-11-01 18:54:58,553,NA,NA,NA,1671.881643,1671.881643,FALSE,27347.94508,6,2015-02-01 01:23:31,25676.063437,7922910,0.00324073647649664,FALSE
"350","A69-1601-19255",350,"PTN-Silver-eel-Mondego","R3","VR2W-125707",40.214,-8.438,2015-02-01 01:23:31,2015-02-01 01:41:24,7,7885713,25676.063437,0.003256,27347.94508,27347.94508,TRUE,71444.322117,7,2015-02-01 15:03:34,44096.377037,49203,0.896213178810235,TRUE
"351","A69-1601-19255",351,"PTN-Silver-eel-Mondego","R5","VR2W-125701",40.145,-8.836,2015-02-01 15:03:34,2015-02-01 15:20:34,10,48130,44096.377036,0.916193,71444.322116,71444.322117,NA,NA,NA,NA,NA,NA,NA,TRUE
"352","A69-1601-19255",352,"PTN-Silver-eel-Mondego","R8","VR2W-125704",40.145372,-8.873039,2015-02-01 16:10:46,2015-02-01 16:12:03,3,3012,3363.485949,1.116695,74807.808065,74807.808066,NA,NA,NA,NA,NA,NA,NA,TRUE
"353","A69-1601-19256",353,"PTN-Silver-eel-Mondego","rel_mondego","none",40.295,-8.257,2014-10-26 17:00:00,2014-10-26 17:00:00,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
"354","A69-1601-19256",354,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-27 02:08:23,2014-10-27 02:46:57,33,32903,1671.881643,0.050812,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"355","A69-1601-19256",355,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-28 00:18:37,2014-10-28 02:20:45,88,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"356","A69-1601-19256",356,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-28 04:03:59,2014-10-28 04:59:14,11,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"357","A69-1601-19256",357,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-28 15:35:27,2014-10-28 16:05:25,17,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"358","A69-1601-19256",358,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-28 18:35:50,2014-10-28 21:17:48,84,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"359","A69-1601-19256",359,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-28 23:14:43,2014-10-28 23:22:08,4,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"360","A69-1601-19256",360,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-29 02:19:30,2014-10-29 02:24:07,3,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"361","A69-1601-19256",361,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-29 09:12:09,2014-10-29 09:17:58,3,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"362","A69-1601-19256",362,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-30 15:40:50,2014-10-30 15:47:27,7,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"363","A69-1601-19256",363,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-30 20:34:07,2014-10-31 00:52:40,43,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"364","A69-1601-19256",364,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-31 02:56:18,2014-10-31 06:47:46,123,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"365","A69-1601-19256",365,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-31 21:07:37,2014-10-31 21:32:53,3,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"366","A69-1601-19256",366,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-31 22:51:01,2014-11-01 06:55:35,101,NA,NA,NA,1671.881643,1671.881643,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"367","A69-1601-19256",367,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-11-01 18:00:48,2014-11-01 18:07:48,3,NA,NA,NA,1671.881643,1671.881643,NA,NA,NA,NA,NA,NA,NA,FALSE
"368","A69-1601-19257",368,"PTN-Silver-eel-Mondego","rel_mondego","none",40.295,-8.257,2014-10-26 17:00:00,2014-10-26 17:00:00,1,NA,NA,NA,0,0,TRUE,27347.94508,3,2014-11-03 01:31:58,27347.94508,635518,0.0430325263485849,TRUE
"369","A69-1601-19257",369,"PTN-Silver-eel-Mondego","R1","VR2W-125699",40.283,-8.266,2014-10-27 00:09:06,2014-10-28 00:31:08,913,25746,1671.881643,0.064938,1671.881643,1671.881643,TRUE,27347.94508,3,2014-11-03 01:31:58,25676.063437,609772,0.0421076458692757,TRUE
"370","A69-1601-19257",370,"PTN-Silver-eel-Mondego","R3","VR2W-125707",40.214,-8.438,2014-11-03 01:31:58,2014-11-03 06:15:34,127,522050,25676.063437,0.049183,27347.94508,27347.94508,FALSE,71785.528919,8,2014-11-15 13:07:00,44437.583839,1078502,0.041203061133869,TRUE
"371","A69-1601-19257",371,"PTN-Silver-eel-Mondego","R3","VR2W-125707",40.214,-8.438,2014-11-03 19:32:11,2014-11-03 19:38:29,3,NA,NA,NA,27347.94508,27347.94508,FALSE,71785.528919,8,2014-11-15 13:07:00,44437.583839,1013689,0.0438374924054616,TRUE
"372","A69-1601-19257",372,"PTN-Silver-eel-Mondego","R3","VR2W-125707",40.214,-8.438,2014-11-05 05:14:59,2014-11-05 07:09:45,29,NA,NA,NA,27347.94508,27347.94508,FALSE,71785.528919,8,2014-11-15 13:07:00,44437.583839,892321,0.0497999978023604,TRUE
"373","A69-1601-19257",373,"PTN-Silver-eel-Mondego","R3","VR2W-125707",40.214,-8.438,2014-11-06 04:50:13,2014-11-06 04:50:13,1,NA,NA,NA,27347.94508,27347.94508,FALSE,71785.528919,8,2014-11-15 13:07:00,44437.583839,807407,0.0550374022506617,TRUE
"374","A69-1601-19257",374,"PTN-Silver-eel-Mondego","R3","VR2W-125707",40.214,-8.438,2014-11-12 19:23:19,2014-11-12 20:45:09,39,NA,NA,NA,27347.94508,27347.94508,TRUE,71785.528919,8,2014-11-15 13:07:00,44437.583839,236621,0.187800676351634,TRUE
"375","A69-1601-19257",375,"PTN-Silver-eel-Mondego","R6","VR2W-125702",40.146,-8.839,2014-11-15 13:07:00,2014-11-15 13:44:34,6,231711,44437.583839,0.19178,71785.528919,71785.528919,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"376","A69-1601-19257",376,"PTN-Silver-eel-Mondego","R7","VR2W-125708",40.145,-8.842,2014-11-15 14:48:31,2014-11-15 18:26:14,167,3837,199.865874,0.052089,71985.394793,71985.394793,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"377","A69-1601-19257",377,"PTN-Silver-eel-Mondego","R5","VR2W-125701",40.145,-8.836,2015-01-19 17:19:17,2015-01-19 17:40:06,15,5611983,541.072677,9.6e-05,72526.46747,71444.322117,NA,NA,NA,NA,NA,NA,NA,FALSE
