"","...1","animal_project_code","acoustic_tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m"
"126",126,"PTN-Silver-eel-Mondego","A69-1601-19224","R1","VR2W-125699",40.283,-8.266,2015-11-13 19:42:07,2015-11-13 21:44:40,66,9727,1671.881643,0.171881,1671.881643,1671.881643
"127",127,"PTN-Silver-eel-Mondego","A69-1601-19225","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"128",128,"PTN-Silver-eel-Mondego","A69-1601-19225","R1","VR2W-125699",40.283,-8.266,2015-11-14 23:02:38,2015-11-15 02:22:11,112,108158,1671.881643,0.015458,1671.881643,1671.881643
"129",129,"PTN-Silver-eel-Mondego","A69-1601-19225","R1","VR2W-125699",40.283,-8.266,2015-11-19 21:50:28,2015-11-20 00:35:37,78,NA,NA,NA,1671.881643,1671.881643
"130",130,"PTN-Silver-eel-Mondego","A69-1601-19225","R1","VR2W-125699",40.283,-8.266,2015-11-20 02:22:54,2015-11-20 04:21:25,58,NA,NA,NA,1671.881643,1671.881643
"131",131,"PTN-Silver-eel-Mondego","A69-1601-19225","R2","VR2W-125700",40.208,-8.434,2015-12-05 08:57:30,2015-12-05 08:57:30,1,1312565,24952.180689,0.01901,26624.062332,26624.062332
"132",132,"PTN-Silver-eel-Mondego","A69-1601-19225","R2","VR2W-125700",40.208,-8.434,2015-12-09 05:44:01,2015-12-09 05:44:01,1,NA,NA,NA,26624.062332,26624.062332
"133",133,"PTN-Silver-eel-Mondego","A69-1601-19225","R2","VR2W-125700",40.208,-8.434,2015-12-09 18:40:16,2015-12-09 19:39:50,26,NA,NA,NA,26624.062332,26624.062332
"134",134,"PTN-Silver-eel-Mondego","A69-1601-19226","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"135",135,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-11-16 00:50:01,2015-11-16 06:26:43,285,201001,1671.881643,0.008318,1671.881643,1671.881643
"136",136,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-11-16 18:22:53,2015-11-16 18:38:00,6,NA,NA,NA,1671.881643,1671.881643
"137",137,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-12 22:24:26,2015-12-12 23:48:38,25,NA,NA,NA,1671.881643,1671.881643
"138",138,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-15 02:23:26,2015-12-15 02:23:26,1,NA,NA,NA,1671.881643,1671.881643
"139",139,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-15 18:30:50,2015-12-15 18:31:41,2,NA,NA,NA,1671.881643,1671.881643
"140",140,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-19 03:36:43,2015-12-19 19:20:39,141,NA,NA,NA,1671.881643,1671.881643
"141",141,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-20 02:37:41,2015-12-20 05:09:19,22,NA,NA,NA,1671.881643,1671.881643
"142",142,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-20 06:25:20,2015-12-20 11:13:21,71,NA,NA,NA,1671.881643,1671.881643
"143",143,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-20 17:36:34,2015-12-20 21:29:06,60,NA,NA,NA,1671.881643,1671.881643
"144",144,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-20 22:41:56,2015-12-21 05:19:54,112,NA,NA,NA,1671.881643,1671.881643
"145",145,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-21 06:32:53,2015-12-21 06:32:53,1,NA,NA,NA,1671.881643,1671.881643
"146",146,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-21 11:27:52,2015-12-21 11:27:52,1,NA,NA,NA,1671.881643,1671.881643
"147",147,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-21 15:11:05,2015-12-21 21:13:38,75,NA,NA,NA,1671.881643,1671.881643
"148",148,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-23 03:13:48,2015-12-23 03:58:28,13,NA,NA,NA,1671.881643,1671.881643
"149",149,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-23 05:53:29,2015-12-23 07:58:51,19,NA,NA,NA,1671.881643,1671.881643
"150",150,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-23 10:57:46,2015-12-23 10:57:46,1,NA,NA,NA,1671.881643,1671.881643
"151",151,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-23 22:18:34,2015-12-23 22:39:26,4,NA,NA,NA,1671.881643,1671.881643
"152",152,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-24 05:47:26,2015-12-24 06:43:50,10,NA,NA,NA,1671.881643,1671.881643
"153",153,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-24 12:09:38,2015-12-24 13:26:28,5,NA,NA,NA,1671.881643,1671.881643
"154",154,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-24 14:54:01,2015-12-24 14:57:49,2,NA,NA,NA,1671.881643,1671.881643
"155",155,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-24 18:54:23,2015-12-24 20:08:55,9,NA,NA,NA,1671.881643,1671.881643
"156",156,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-25 01:30:24,2015-12-25 08:06:01,87,NA,NA,NA,1671.881643,1671.881643
"157",157,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-25 09:36:59,2015-12-25 09:36:59,1,NA,NA,NA,1671.881643,1671.881643
"158",158,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-25 10:41:23,2015-12-25 10:41:23,1,NA,NA,NA,1671.881643,1671.881643
"159",159,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-25 13:03:04,2015-12-25 13:10:56,7,NA,NA,NA,1671.881643,1671.881643
"160",160,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-26 11:17:19,2015-12-26 11:22:24,2,NA,NA,NA,1671.881643,1671.881643
"161",161,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-26 14:19:02,2015-12-26 14:19:02,1,NA,NA,NA,1671.881643,1671.881643
"162",162,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-26 15:22:25,2015-12-26 18:06:34,7,NA,NA,NA,1671.881643,1671.881643
"163",163,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-27 00:54:30,2015-12-27 07:36:58,45,NA,NA,NA,1671.881643,1671.881643
"164",164,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-27 08:47:14,2015-12-28 03:35:40,283,NA,NA,NA,1671.881643,1671.881643
"165",165,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-28 06:22:01,2015-12-28 07:57:18,22,NA,NA,NA,1671.881643,1671.881643
"166",166,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-28 11:14:57,2015-12-28 11:14:57,1,NA,NA,NA,1671.881643,1671.881643
"167",167,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-28 17:34:30,2015-12-28 17:34:30,1,NA,NA,NA,1671.881643,1671.881643
"168",168,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-28 20:00:36,2015-12-29 04:57:49,190,NA,NA,NA,1671.881643,1671.881643
"169",169,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-29 06:28:50,2015-12-29 11:59:51,63,NA,NA,NA,1671.881643,1671.881643
"170",170,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-29 14:46:13,2015-12-29 17:39:11,53,NA,NA,NA,1671.881643,1671.881643
"171",171,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-29 18:56:11,2015-12-29 21:24:47,16,NA,NA,NA,1671.881643,1671.881643
"172",172,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-29 22:25:53,2015-12-29 22:25:53,1,NA,NA,NA,1671.881643,1671.881643
"173",173,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-30 07:16:46,2015-12-30 07:16:46,1,NA,NA,NA,1671.881643,1671.881643
"174",174,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-12-31 17:29:59,2015-12-31 18:35:04,17,NA,NA,NA,1671.881643,1671.881643
"175",175,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2016-01-01 21:41:10,2016-01-01 21:42:28,2,NA,NA,NA,1671.881643,1671.881643
"176",176,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2016-01-02 16:43:24,2016-01-02 16:43:24,1,NA,NA,NA,1671.881643,1671.881643
"177",177,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2016-01-02 18:15:18,2016-01-02 19:12:46,5,NA,NA,NA,1671.881643,1671.881643
"178",178,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2016-01-03 04:50:21,2016-01-03 05:01:06,3,NA,NA,NA,1671.881643,1671.881643
"179",179,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2016-01-03 09:24:49,2016-01-03 09:24:49,1,NA,NA,NA,1671.881643,1671.881643
"180",180,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2016-01-03 11:23:24,2016-01-03 11:53:37,10,NA,NA,NA,1671.881643,1671.881643
"181",181,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2016-01-04 02:02:07,2016-01-04 02:52:50,2,NA,NA,NA,1671.881643,1671.881643
"182",182,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2016-01-04 17:56:56,2016-01-04 18:13:34,10,NA,NA,NA,1671.881643,1671.881643
"183",183,"PTN-Silver-eel-Mondego","A69-1601-19226","R3","VR2W-125707",40.214,-8.438,2016-01-06 22:24:03,2016-01-06 22:24:03,1,187829,25676.063437,0.136699,27347.94508,27347.94508
"184",184,"PTN-Silver-eel-Mondego","A69-1601-19226","R8","VR2W-125704",40.145372,-8.873039,2016-01-11 22:09:23,2016-01-11 22:09:23,1,431120,47459.862985,0.110085,74807.808065,74807.808066
"185",185,"PTN-Silver-eel-Mondego","A69-1601-19227","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"186",186,"PTN-Silver-eel-Mondego","A69-1601-19227","R1","VR2W-125699",40.283,-8.266,2015-11-14 22:15:10,2015-11-14 22:35:45,7,105310,1671.881643,0.015876,1671.881643,1671.881643
"187",187,"PTN-Silver-eel-Mondego","A69-1601-19227","R1","VR2W-125699",40.283,-8.266,2015-11-15 18:05:03,2015-11-15 21:47:28,163,NA,NA,NA,1671.881643,1671.881643
"188",188,"PTN-Silver-eel-Mondego","A69-1601-19227","R1","VR2W-125699",40.283,-8.266,2015-11-16 21:45:08,2015-11-16 21:45:08,1,NA,NA,NA,1671.881643,1671.881643
"189",189,"PTN-Silver-eel-Mondego","A69-1601-19227","R1","VR2W-125699",40.283,-8.266,2015-11-18 03:13:19,2015-11-18 04:38:49,8,NA,NA,NA,1671.881643,1671.881643
"190",190,"PTN-Silver-eel-Mondego","A69-1601-19227","R1","VR2W-125699",40.283,-8.266,2015-11-18 22:11:17,2015-11-18 22:31:17,7,NA,NA,NA,1671.881643,1671.881643
"191",191,"PTN-Silver-eel-Mondego","A69-1601-19228","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"192",192,"PTN-Silver-eel-Mondego","A69-1601-19228","R1","VR2W-125699",40.283,-8.266,2015-11-13 19:51:14,2015-11-13 20:05:00,14,10274,1671.881643,0.162729,1671.881643,1671.881643
"193",193,"PTN-Silver-eel-Mondego","A69-1601-19228","R2","VR2W-125700",40.208,-8.434,2015-11-26 22:49:38,2015-11-26 23:48:17,11,1133078,24952.180689,0.022022,26624.062332,26624.062332
"194",194,"PTN-Silver-eel-Mondego","A69-1601-19228","R2","VR2W-125700",40.208,-8.434,2015-11-27 02:31:02,2015-11-27 03:04:25,2,NA,NA,NA,26624.062332,26624.062332
"195",195,"PTN-Silver-eel-Mondego","A69-1601-19228","R2","VR2W-125700",40.208,-8.434,2015-11-28 03:06:54,2015-11-28 03:56:13,40,NA,NA,NA,26624.062332,26624.062332
"196",196,"PTN-Silver-eel-Mondego","A69-1601-19228","R4","VR2W-125706",40.185,-8.615,2015-12-03 05:00:04,2015-12-03 05:39:52,25,435831,17679.905026,0.040566,44303.967358,44303.967358
"197",197,"PTN-Silver-eel-Mondego","A69-1601-19229","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"198",198,"PTN-Silver-eel-Mondego","A69-1601-19230","rel_mondego","none",40.295,-8.257,2015-12-02 17:00:00,2015-12-02 17:00:00,1,NA,NA,NA,0,0
"199",199,"PTN-Silver-eel-Mondego","A69-1601-19230","R1","VR2W-125699",40.283,-8.266,2015-12-05 23:05:43,2015-12-05 23:20:51,17,281143,1671.881643,0.005947,1671.881643,1671.881643
"200",200,"PTN-Silver-eel-Mondego","A69-1601-19230","R2","VR2W-125700",40.208,-8.434,2016-01-02 18:09:02,2016-01-02 19:14:33,28,2400491,24952.180689,0.010395,26624.062332,26624.062332
"201",201,"PTN-Silver-eel-Mondego","A69-1601-19230","R4","VR2W-125706",40.185,-8.615,2016-01-03 20:34:43,2016-01-03 20:43:11,6,91210,17679.905026,0.193837,44303.967358,44303.967358
"202",202,"PTN-Silver-eel-Mondego","A69-1601-19230","R7","VR2W-125708",40.145,-8.842,2016-01-05 02:19:44,2016-01-05 02:27:20,3,106593,27681.427435,0.259693,71985.394793,71985.394793
"203",203,"PTN-Silver-eel-Mondego","A69-1601-19230","R7","VR2W-125708",40.145,-8.842,2016-01-05 15:22:03,2016-01-05 15:27:31,6,NA,NA,NA,71985.394793,71985.394793
"204",204,"PTN-Silver-eel-Mondego","A69-1601-19233","rel_mondego","none",40.295,-8.257,2014-12-23 17:00:00,2014-12-23 17:00:00,1,NA,NA,NA,0,0
"205",205,"PTN-Silver-eel-Mondego","A69-1601-19233","R1","VR2W-125699",40.283,-8.266,2014-12-23 18:06:16,2014-12-23 18:26:47,12,3976,1671.881643,0.420493,1671.881643,1671.881643
"206",206,"PTN-Silver-eel-Mondego","A69-1601-19233","R3","VR2W-125707",40.214,-8.438,2015-01-23 21:04:51,2015-01-23 22:28:15,19,2687884,25676.063437,0.009553,27347.94508,27347.94508
"207",207,"PTN-Silver-eel-Mondego","A69-1601-19233","R2","VR2W-125700",40.208,-8.434,2015-01-27 21:12:32,2015-01-27 21:23:43,2,341057,723.882749,0.002122,28071.827829,26624.062332
"208",208,"PTN-Silver-eel-Mondego","A69-1601-19233","R5","VR2W-125701",40.145,-8.836,2015-01-31 17:45:46,2015-01-31 17:57:20,5,332523,44820.259785,0.134788,72892.087614,71444.322117
"209",209,"PTN-Silver-eel-Mondego","A69-1601-19235","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"210",210,"PTN-Silver-eel-Mondego","A69-1601-19236","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"211",211,"PTN-Silver-eel-Mondego","A69-1601-19237","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"212",212,"PTN-Silver-eel-Mondego","A69-1601-19237","R1","VR2W-125699",40.283,-8.266,2015-11-15 23:31:03,2015-11-15 23:42:11,9,196263,1671.881643,0.008519,1671.881643,1671.881643
"213",213,"PTN-Silver-eel-Mondego","A69-1601-19239","rel_mondego","none",40.295,-8.257,2014-11-26 17:00:00,2014-11-26 17:00:00,1,NA,NA,NA,0,0
"214",214,"PTN-Silver-eel-Mondego","A69-1601-19239","R1","VR2W-125699",40.283,-8.266,2014-11-26 20:20:18,2014-11-26 20:28:05,9,12018,1671.881643,0.139115,1671.881643,1671.881643
"215",215,"PTN-Silver-eel-Mondego","A69-1601-19240","rel_mondego","none",40.295,-8.257,2014-12-23 17:00:00,2014-12-23 17:00:00,1,NA,NA,NA,0,0
"216",216,"PTN-Silver-eel-Mondego","A69-1601-19240","R1","VR2W-125699",40.283,-8.266,2015-01-07 04:36:21,2015-01-07 04:55:44,11,1251381,1671.881643,0.001336,1671.881643,1671.881643
"217",217,"PTN-Silver-eel-Mondego","A69-1601-19240","R3","VR2W-125707",40.214,-8.438,2015-01-30 16:27:34,2015-01-30 17:25:06,30,2028710,25676.063437,0.012656,27347.94508,27347.94508
"218",218,"PTN-Silver-eel-Mondego","A69-1601-19240","R4","VR2W-125706",40.185,-8.615,2015-01-30 22:33:51,2015-01-30 22:33:51,1,18525,16956.022277,0.915305,44303.967357,44303.967358
"219",219,"PTN-Silver-eel-Mondego","A69-1601-19240","R5","VR2W-125701",40.145,-8.836,2015-01-31 16:47:48,2015-01-31 16:56:30,5,65637,27140.354759,0.413492,71444.322116,71444.322117
"220",220,"PTN-Silver-eel-Mondego","A69-1601-19242","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"221",221,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-11-17 05:13:07,2015-11-17 05:59:24,5,303187,1671.881643,0.005514,1671.881643,1671.881643
"222",222,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-11-18 18:30:13,2015-11-18 19:41:09,30,NA,NA,NA,1671.881643,1671.881643
"223",223,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-11-18 20:44:00,2015-11-18 20:55:47,3,NA,NA,NA,1671.881643,1671.881643
"224",224,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-11-19 03:09:07,2015-11-19 04:58:31,36,NA,NA,NA,1671.881643,1671.881643
"225",225,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-11-19 23:54:52,2015-11-20 00:50:04,21,NA,NA,NA,1671.881643,1671.881643
"226",226,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-11-20 02:42:58,2015-11-20 06:27:05,84,NA,NA,NA,1671.881643,1671.881643
"227",227,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-11-21 13:48:54,2015-11-21 15:02:04,16,NA,NA,NA,1671.881643,1671.881643
"228",228,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-11-21 16:08:11,2015-11-21 16:37:14,9,NA,NA,NA,1671.881643,1671.881643
"229",229,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-11-21 18:34:45,2015-11-21 20:28:16,78,NA,NA,NA,1671.881643,1671.881643
"230",230,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-11-21 21:43:26,2015-11-22 05:29:04,151,NA,NA,NA,1671.881643,1671.881643
"231",231,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-11-22 13:55:41,2015-11-22 13:55:41,1,NA,NA,NA,1671.881643,1671.881643
"232",232,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-11-22 15:03:08,2015-11-22 16:24:22,17,NA,NA,NA,1671.881643,1671.881643
"233",233,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-11-22 18:10:35,2015-11-22 18:48:32,3,NA,NA,NA,1671.881643,1671.881643
"234",234,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-11-23 00:44:27,2015-11-23 02:43:27,62,NA,NA,NA,1671.881643,1671.881643
"235",235,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-01 03:37:11,2015-12-01 06:50:47,147,NA,NA,NA,1671.881643,1671.881643
"236",236,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-01 08:06:37,2015-12-01 08:06:37,1,NA,NA,NA,1671.881643,1671.881643
"237",237,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-01 09:56:07,2015-12-01 10:02:08,2,NA,NA,NA,1671.881643,1671.881643
"238",238,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-01 12:25:26,2015-12-01 12:26:55,2,NA,NA,NA,1671.881643,1671.881643
"239",239,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-01 14:02:19,2015-12-01 14:34:01,2,NA,NA,NA,1671.881643,1671.881643
"240",240,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-01 18:45:02,2015-12-01 18:48:21,2,NA,NA,NA,1671.881643,1671.881643
"241",241,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-01 20:54:02,2015-12-01 21:02:00,3,NA,NA,NA,1671.881643,1671.881643
"242",242,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-02 04:28:08,2015-12-17 08:18:26,17779,NA,NA,NA,1671.881643,1671.881643
"243",243,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-17 09:48:52,2015-12-19 20:12:23,1647,NA,NA,NA,1671.881643,1671.881643
"244",244,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-19 22:27:28,2015-12-21 22:16:54,1220,NA,NA,NA,1671.881643,1671.881643
"245",245,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-21 23:20:36,2015-12-22 01:25:26,27,NA,NA,NA,1671.881643,1671.881643
"246",246,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-22 02:45:14,2015-12-22 05:27:05,9,NA,NA,NA,1671.881643,1671.881643
"247",247,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-22 06:43:22,2015-12-28 08:01:53,5848,NA,NA,NA,1671.881643,1671.881643
"248",248,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-28 09:09:34,2015-12-28 15:23:24,258,NA,NA,NA,1671.881643,1671.881643
"249",249,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-28 16:28:27,2015-12-29 01:05:11,243,NA,NA,NA,1671.881643,1671.881643
"250",250,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2015-12-29 03:33:40,2016-01-01 12:46:20,3739,NA,NA,NA,1671.881643,1671.881643
"251",251,"PTN-Silver-eel-Mondego","A69-1601-19242","R1","VR2W-125699",40.283,-8.266,2016-01-01 14:02:04,2016-01-01 19:18:16,236,NA,NA,NA,1671.881643,1671.881643
